track_id,track_name,artist_name,artist_id,album_name,album_type,release_date,duration_ms,explicit,lastfm_listeners,lastfm_playcount,lastfm_top_tags
69cLn7zwq2oIfnahAOIwV1,JB2 RADIO,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,31507,True,45,96,[]
5wNIHa6wvCCKP6fWgo3UAh,CHAMPAIN & VACAY,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,184789,True,298252,2805085,['special']
6Gp3pYkydEOkl8EHHJxa9s,2000 EXCURSION,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,222986,True,225566,1662927,[]
5P03xImM2uFukzoty7NDw7,KICK OUT,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,170498,True,354706,3318749,"['rap', 'us', 'Energic']"
1rQEgtQNsj63xIUzEmKbML,DUMBO,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,238249,True,302929,3152297,"['special', 'trap']"
2D8i2yY8z3kB5gRaUJ5weK,MM3,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,174532,True,154,267,[]
56jNpLhqZaI5IfJwwMdkRQ,VELOUR,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,144841,True,115,209,[]
7ydu79RLStYQTOi1OM6Dvg,CONTEST,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,272410,True,171774,1003352,[]
3nr3oHUp1yTHnjgarY8KX0,ILMB,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,184630,True,70,257,[]
26N5kAVhlqFOWAkuMQ5Kwe,WHERE WAS YOU,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,272941,True,231675,1956284,[]
22f5gVlJXlTRSCezQDISFn,NO COMMENTS,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,129603,True,178,356,[]
3LjZ6PqqXfwkcnLOkgLGKI,BEEP BEEP,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,234654,True,158156,877838,[]
5820PtzfB116EIALe50F6t,PBT,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,250982,True,156010,770841,[]
4lUAlhQOVzhitQKjxrHVny,SHYNE,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,193183,True,238642,1356342,[]
22itRNJ0N4sB8RSeofp7pW,OUTSIDE,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,183320,True,348726,3098349,[]
7HFdogJVrkXSm0qBf1JlOB,CANT STOP,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,132489,True,86,158,[]
4vqwVaEqLNWo3UXhQi5IFH,FLORIDA FLOW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS 2,album,2025-07-13,328574,True,128411,666500,[]
0hL9gOw6XBWsygEUcVjxEc,HYAENA,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,222085,True,671537,9257562,"['experimental hip hop', 'Southern Hip Hop', 'industrial hip hop', 'hardcore hip hop', 'folkhop']"
1PH2MDbcBAU094DlgTIND1,THANK GOD,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,184888,True,655984,9238015,"['trap', 'Christian hip hop', 'experimental hip hop', 'synthwave', 'cloud rap']"
3KCNiDi9Pza6ZD8FggNoaw,MODERN JAM (feat. Teezo Touchdown),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,255412,True,481919,6823256,"['industrial hip hop', 'travis scott', 'Teezo Touchdown', '-1001703352985', 'hip hop']"
4kjI1gwQZRKNDkw1nI475M,MY EYES,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,251249,True,935737,21248651,"['chillwave', 'cloud rap', 'Southern Hip Hop', 'Neo-Psychedelia', 'wave']"
04WxWo7XeVyx22xEsrWRUb,GOD'S COUNTRY,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,127991,True,552683,6280003,"['travis scott', 'trap', 'Neo-Psychedelia', 'Southern Hip Hop', 'Kanye West']"
7LSpFCvRZZot2AlmkUzy9k,SIRENS,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,204447,True,550698,6965014,"['experimental hip hop', 'travis scott', 'Neo-Psychedelia', 'spoken word', 'uk bass']"
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,246133,True,759883,11318901,"['trap', 'rap', 'travis scott', 'Drake', '2023']"
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,191700,True,1472792,28544356,"['rage', 'hype', 'Playboi Carti', 'rap', 'Southern Hip Hop']"
0OEe83mMZ5kaNw5uZQ7ilG,DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,274137,False,389449,3402225,[]
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,211582,True,1055933,20896700,"['trap', 'Southern Hip Hop', 'travis scott', 'pop rap', 'mobb music']"
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,223173,True,639133,8278914,"['Rob49', 'trap', '2023', 'travis scott', '21 savage']"
4GL9GMX9t7Qkprvf1YighZ,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,258842,True,427646,5218610,"['travis scott', 'swae lee', 'The Weeknd', 'rap', 'Progressive']"
2Q0aElTZQtEUsoiaQfizu6,PARASAIL (feat. Yung Lean & Dave Chappelle),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,154964,False,383606,3388960,[]
0bkV1iQHSxBaksUqgEkcbc,SKITZO (feat. Young Thug),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,366592,True,409332,5005931,"['travis scott', 'Young Thug', 'trap', 'schizophrenia', '2023']"
7EiUtdeoWcKqLi5ELZCjYf,LOST FOREVER (feat. Westside Gunn),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,163071,True,411810,4546287,[]
0a4SMs889NwP8oWI7Vemle,LOOOVE (feat. Kid Cudi),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,226715,True,363887,4226252,[]
4o82J5zr4DFEs9yj5szCVX,K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,185220,True,291257,2546217,[]
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,353754,True,803723,12919386,"['-1001760493747', 'sza', 'rnb', 'Hip-Hop', 'alternative rnb']"
76gcXhY3Zv6wW0BTe9nHJo,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,album,2023-07-28,314836,True,552023,9222800,"['trap', 'travis scott', '21 savage', '-1001740215468', 'James Blake']"
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,244873,True,312912,2118204,[]
62zKJrpbLxz6InR3tGyr7o,JACKBOYS,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,46836,True,172,820,[]
6uJONCdr2rC65BNmCnTBWK,GANG GANG,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,244760,True,435,2874,[]
7LGWmZaoS7jZJ5tEi9EcDi,HAD ENOUGH (feat. Quavo & Offset),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,157133,True,171,781,[]
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,157712,True,1436,4744,[]
4AO1XhrgJczQ9bNVxdfKQe,WHAT TO DO? (feat. Don Toliver),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,250141,True,656,2304,[]
40mjsnRjCpycdUw3xhS20g,GATTI,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,JACKBOYS,album,2019-12-27,181144,True,703,2058,[]
7wBJfHzpfI3032CSD7CE2m,STARGAZING,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,270714,True,860263,13923413,"['trap', 'pop rap', 'travis scott', 'rap', 'Neo-Psychedelia']"
7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,180182,True,554628,6756971,"['trap', 'Frank Ocean', 'Neo-Psychedelia', 'rap', 'pop rap']"
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,312820,True,1565947,21077832,"['trap', 'rap', '2018', 'Drake', 'Hip-Hop']"
4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,185610,True,543324,6935332,[]
1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,338438,True,578866,7931543,"['trap', 'cloud rap', 'Psychedelic Soul', 'rap', 'alternative rnb']"
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,218283,True,677660,9872258,"['Southern Hip Hop', 'pop rap', 'trap', 'travis scott', 'Juice WRLD']"
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,145588,True,1029094,21456295,"['tame impala', 'The Weeknd', 'Hip-Hop', 'hip hop', 'Pharrell']"
20MuVazoNMv6xjKPnRFOxG,WAKE UP,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,album,2018-08-03,231963,True,553501,6620530,[]
